Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
HT-223H;Pince a denuder 3 trous /Infractive;Atech;INFRACTIVE;Fibre Optique;;HT-223H;HT-223H;;;;;;;;;;
IBC-CLEANER-LC;Stylo de nettoyage de connecteurs 1.25 mm et trav LC/UPC et APC l /Infractive;Atech;INFRACTIVE;Fibre Optique;;IBC-CLEANER-LC;IBC-CLEANER-LC;;;;;;;;;;
IBC-CLEANER-SC;Stylo de nettoyage de connect 2.5 mm et trav SC ST FC E2000 l /Infractive;Atech;INFRACTIVE;Fibre Optique;;IBC-CLEANER-SC;IBC-CLEANER-SC;;;;;;;;;;
IC5312;Boîtier optique de branchement d'immeuble PAB32;ATECH;;Fibre optique;25,52;IC5312;IC5312;;;;;;;;;;
INF-800K-C;Photometre CE connectique SC/ST/FCl /Infractive;Atech;INFRACTIVE;Fibre Optique;;INF-800K-C;INF-800K-C;;;;;;;;;;
INF-VFL-05;Detecteur visuel de dﾎfauts 5mW/Infractive(stylo 650nm/ferules 2.5mm/portﾎe 7 km;Atech;INFRACTIVE;Fibre Optique;;INF-VFL-05;INF-VFL-05;;;;;;;;;;
INTEX24OM4C;CABLE FO EXTERIEUR 24 FO;RAVATE ELEC;;Fibre Optique;5,65;INTEX24OM4C;INTEX24OM4C;;;;;;;;;;
INTEX24OS2C;CABL F.O 24 BRIN OS2 LSZH I/E;RAVATE ELEC;;Fibre Optique;1,25;INTEX24OS2C;INTEX24OS2C;;;;;;;;;;
INTEX6OM4C;6FO OM4 LIBRE INT/EXT LSZH -;RAVATE ELEC;CAE Groupe;Fibre Optique;2,34;INTEX6OM4C;INTEX6OM4C;;;;;;;;;;
J4859C;Module Gbic Monomode HP Giga SFP LC LX 10km SMF/HP;XEFI;;Fibre Optique;172;J4859C;J4859C;;;;;;;;;;
JARSLC/LC5MM;Jarretière optique LC/LC MM 50/125ﾵm longueur 1m;Atech;;Fibre Optique;;JARSLC/LC5MM;JARSLC/LC5MM;;;;;;;;;;
JIC-186;Ciseaux ergonomique pour Kevlarc /Infractive;Atech;INFRACTIVE;Fibre Optique;;JIC-186;JIC-186;;;;;;;;;;
JOM1LCLC2;Jarretière optique LC/LC MM 62.5/125µm longueur 2m;Atech;;Fibre Optique;;JOM1LCLC2;JOM1LCLC2;;;;;;;;;;
JOM1LCSC2;Jarretière optique LC/SC MM 62.5/125µm longueur 2m;Atech;;Fibre Optique;;JOM1LCSC2;JOM1LCSC2;;;;;;;;;;
JOM1LCST2;Jarretière optique LC/ST MM 62.5/125µm longueur 2m;Atech;;Fibre Optique;;JOM1LCST2;JOM1LCST2;;;;;;;;;;
JOM1SCSC2;Jarretière optique SC/SC duplex 62.5/125µm longueur 2m;Atech;;Fibre Optique;;JOM1SCSC2;JOM1SCSC2;;;;;;;;;;
JOM1SCST2;Jarretière optique SC/ST duplex 62.5/125µm longueur 2m;Atech;;Fibre Optique;;JOM1SCST2;JOM1SCST2;;;;;;;;;;
JOM1STST2;Jarretière optique ST/ST duplex 62.5/125µm longueur 2m;Atech;;Fibre Optique;;JOM1STST2;JOM1STST2;;;;;;;;;;
JOM3LCLC2;Jarretière optique LC/LC OM3 Duplex longueur 2m;Atech;;Fibre Optique;;JOM3LCLC2;JOM3LCLC2;;;;;;;;;;
JOM3LCSC2;Jarretière optique LC/SC OM3 Duplex longueur 2m;Atech;;Fibre Optique;;JOM3LCSC2;JOM3LCSC2;;;;;;;;;;
JOM3LCST2;Jarretière optique LC/ST OM3 Duplex longueur 2m;Atech;;Fibre Optique;;JOM3LCST2;JOM3LCST2;;;;;;;;;;
JOM3SCSC2;Jarretière optique SC/SC OM3 duplex 50/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOM3SCSC2;JOM3SCSC2;;;;;;;;;;
JOM3SCST2;Jarretière optique SC/ST OM3 duplex 50/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOM3SCST2;JOM3SCST2;;;;;;;;;;
JOM3STST2;Jarretière optique ST/ST OM3 duplex 50/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOM3STST2;JOM3STST2;;;;;;;;;;
